image_path,label
dataset/real\ramen\9330.jpg,1
dataset/fake\french_onion_soup\95602.jpg,0
dataset/real\peking_duck\87927.jpg,1
dataset/real\strawberry_shortcake\79093.jpg,1
dataset/fake\risotto\713463.jpg,0
dataset/fake\hot_and_sour_soup\84322.jpg,0
dataset/real\samosa\778917.jpg,1
dataset/real\donuts\99096.jpg,1
dataset/fake\macaroni_and_cheese\78092.jpg,0
dataset/fake\paella\583177.jpg,0
dataset/fake\macarons\88207.jpg,0
dataset/real\hot_and_sour_soup\661084.jpg,1
dataset/real\onion_rings\741605.jpg,1
dataset/real\creme_brulee\899546.jpg,1
dataset/real\eggs_benedict\48352.jpg,1
dataset/fake\hot_dog\930181.jpg,0
dataset/real\french_onion_soup\706359.jpg,1
dataset/real\croque_madame\968594.jpg,1
dataset/fake\caesar_salad\2911058.jpg,0
dataset/real\pancakes\76828.jpg,1
dataset/fake\bread_pudding\2650951.jpg,0
dataset/real\paella\94172.jpg,1
dataset/real\lobster_roll_sandwich\90203.jpg,1
dataset/fake\omelette\831537.jpg,0
dataset/real\tuna_tartare\804184.jpg,1
dataset/real\baklava\2315695.jpg,1
dataset/fake\french_fries\819521.jpg,0
dataset/real\scallops\689732.jpg,1
dataset/real\mussels\67522.jpg,1
dataset/real\hummus\871981.jpg,1
dataset/real\onion_rings\85913.jpg,1
dataset/real\red_velvet_cake\79805.jpg,1
dataset/fake\spring_rolls\697601.jpg,0
dataset/real\steak\90930.jpg,1
dataset/fake\red_velvet_cake\632540.jpg,0
dataset/fake\grilled_cheese_sandwich\779143.jpg,0
dataset/fake\tiramisu\82628.jpg,0
dataset/fake\french_onion_soup\730494.jpg,0
dataset/real\miso_soup\875615.jpg,1
dataset/fake\french_toast\83425.jpg,0
dataset/real\pad_thai\81331.jpg,1
dataset/real\donuts\99223.jpg,1
dataset/real\macarons\886805.jpg,1
dataset/real\sushi\881859.jpg,1
dataset/fake\breakfast_burrito\928767.jpg,0
dataset/fake\pho\982022.jpg,0
dataset/fake\falafel\97482.jpg,0
dataset/fake\hot_and_sour_soup\80443.jpg,0
dataset/real\pad_thai\8984.jpg,1
dataset/fake\hummus\98985.jpg,0
dataset/fake\tacos\868882.jpg,0
dataset/real\sushi\910435.jpg,1
dataset/fake\hot_and_sour_soup\607274.jpg,0
dataset/real\dumplings\99207.jpg,1
dataset/real\fried_rice\92791.jpg,1
dataset/fake\paella\94172.jpg,0
dataset/real\omelette\812490.jpg,1
dataset/real\grilled_cheese_sandwich\773259.jpg,1
dataset/real\foie_gras\562854.jpg,1
dataset/real\filet_mignon\873596.jpg,1
dataset/real\pho\66892.jpg,1
dataset/fake\caesar_salad\3627235.jpg,0
dataset/fake\hot_and_sour_soup\617836.jpg,0
dataset/real\nachos\99074.jpg,1
dataset/real\club_sandwich\886748.jpg,1
dataset/real\red_velvet_cake\62322.jpg,1
dataset/real\foie_gras\567476.jpg,1
dataset/real\bruschetta\856391.jpg,1
dataset/real\crab_cakes\939129.jpg,1
dataset/real\cheesecake\2241264.jpg,1
dataset/fake\miso_soup\862333.jpg,0
dataset/real\grilled_salmon\902917.jpg,1
dataset/fake\prime_rib\92128.jpg,0
dataset/fake\pancakes\73265.jpg,0
dataset/real\peking_duck\7407.jpg,1
dataset/fake\bruschetta\1288625.jpg,0
dataset/real\fish_and_chips\3353464.jpg,1
dataset/real\guacamole\86180.jpg,1
dataset/real\greek_salad\982455.jpg,1
dataset/real\hamburger\85915.jpg,1
dataset/real\spring_rolls\7394.jpg,1
dataset/real\beet_salad\1003501.jpg,1
dataset/real\falafel\978302.jpg,1
dataset/real\samosa\812951.jpg,1
dataset/real\strawberry_shortcake\6436.jpg,1
dataset/fake\chicken_quesadilla\3418102.jpg,0
dataset/real\gnocchi\782613.jpg,1
dataset/fake\ceviche\2330568.jpg,0
dataset/real\prime_rib\9821.jpg,1
dataset/fake\strawberry_shortcake\98318.jpg,0
dataset/real\macaroni_and_cheese\93372.jpg,1
dataset/fake\pork_chop\72170.jpg,0
dataset/real\pork_chop\70163.jpg,1
dataset/real\fish_and_chips\3504296.jpg,1
dataset/fake\french_fries\82946.jpg,0
dataset/real\crab_cakes\964485.jpg,1
dataset/real\chicken_curry\403121.jpg,1
dataset/real\pulled_pork_sandwich\947258.jpg,1
dataset/fake\paella\589947.jpg,0
dataset/fake\pulled_pork_sandwich\991879.jpg,0
dataset/real\hot_and_sour_soup\611992.jpg,1
dataset/real\onion_rings\82479.jpg,1
dataset/real\carrot_cake\2894362.jpg,1
dataset/real\macarons\841259.jpg,1
dataset/real\garlic_bread\800393.jpg,1
dataset/fake\beignets\646871.jpg,0
dataset/real\takoyaki\692871.jpg,1
dataset/fake\strawberry_shortcake\977955.jpg,0
dataset/fake\spaghetti_bolognese\850480.jpg,0
dataset/fake\filet_mignon\90376.jpg,0
dataset/real\tacos\868882.jpg,1
dataset/real\samosa\793375.jpg,1
dataset/fake\fried_calamari\66099.jpg,0
dataset/real\fried_rice\523739.jpg,1
dataset/fake\bruschetta\1056494.jpg,0
dataset/real\bibimbap\2039717.jpg,1
dataset/fake\chicken_wings\391858.jpg,0
dataset/real\pulled_pork_sandwich\961030.jpg,1
dataset/fake\lasagna\7781.jpg,0
dataset/real\pizza\63480.jpg,1
dataset/real\lobster_bisque\880360.jpg,1
dataset/fake\clam_chowder\908590.jpg,0
dataset/real\bruschetta\1056494.jpg,1
dataset/real\club_sandwich\882772.jpg,1
dataset/real\caprese_salad\779396.jpg,1
dataset/real\gyoza\703218.jpg,1
dataset/fake\pho\7248.jpg,0
dataset/fake\gnocchi\783026.jpg,0
dataset/real\risotto\695270.jpg,1
dataset/real\samosa\825496.jpg,1
dataset/real\beignets\299009.jpg,1
dataset/fake\club_sandwich\87971.jpg,0
dataset/fake\scallops\65756.jpg,0
dataset/fake\spring_rolls\82274.jpg,0
dataset/fake\hummus\882287.jpg,0
dataset/real\spaghetti_carbonara\679272.jpg,1
dataset/real\greek_salad\995103.jpg,1
dataset/fake\tacos\907061.jpg,0
dataset/fake\pancakes\75444.jpg,0
dataset/fake\bread_pudding\2376972.jpg,0
dataset/fake\gnocchi\89170.jpg,0
dataset/real\panna_cotta\90472.jpg,1
dataset/real\french_onion_soup\718633.jpg,1
dataset/real\chicken_curry\3919521.jpg,1
dataset/real\sashimi\793068.jpg,1
dataset/fake\clam_chowder\889952.jpg,0
dataset/fake\omelette\826870.jpg,0
dataset/real\ice_cream\873378.jpg,1
dataset/real\crab_cakes\911468.jpg,1
dataset/real\pizza\98617.jpg,1
dataset/fake\grilled_salmon\925104.jpg,0
dataset/real\peking_duck\92967.jpg,1
dataset/real\carrot_cake\804393.jpg,1
dataset/fake\gnocchi\85359.jpg,0
dataset/real\ravioli\742128.jpg,1
dataset/real\chicken_wings\225318.jpg,1
dataset/fake\onion_rings\721735.jpg,0
dataset/real\chicken_wings\2298994.jpg,1
dataset/fake\macaroni_and_cheese\99170.jpg,0
dataset/fake\prime_rib\859424.jpg,0
dataset/fake\fish_and_chips\267279.jpg,0
dataset/real\shrimp_and_grits\938890.jpg,1
dataset/real\red_velvet_cake\94192.jpg,1
dataset/fake\steak\66207.jpg,0
dataset/real\falafel\974606.jpg,1
dataset/real\panna_cotta\596975.jpg,1
dataset/fake\eggs_benedict\997829.jpg,0
dataset/fake\cheesecake\882301.jpg,0
dataset/real\deviled_eggs\663381.jpg,1
dataset/real\club_sandwich\869999.jpg,1
dataset/real\bruschetta\396542.jpg,1
dataset/fake\tuna_tartare\841002.jpg,0
dataset/fake\bibimbap\1723612.jpg,0
dataset/fake\pizza\82772.jpg,0
dataset/real\chicken_curry\3600369.jpg,1
dataset/fake\greek_salad\979057.jpg,0
dataset/fake\pork_chop\76465.jpg,0
dataset/fake\waffles\764669.jpg,0
dataset/real\guacamole\878151.jpg,1
dataset/fake\club_sandwich\886101.jpg,0
dataset/real\cheesecake\164855.jpg,1
dataset/fake\onion_rings\71645.jpg,0
dataset/real\macaroni_and_cheese\697364.jpg,1
dataset/real\lobster_roll_sandwich\94234.jpg,1
dataset/real\shrimp_and_grits\946408.jpg,1
dataset/real\huevos_rancheros\95203.jpg,1
dataset/real\sashimi\744663.jpg,1
dataset/real\apple_pie\2969119.jpg,1
dataset/fake\pad_thai\761235.jpg,0
dataset/fake\cheesecake\1435236.jpg,0
dataset/real\eggs_benedict\9853.jpg,1
dataset/real\churros\927506.jpg,1
dataset/real\lobster_roll_sandwich\85201.jpg,1
dataset/real\eggs_benedict\53096.jpg,1
dataset/fake\sushi\894858.jpg,0
dataset/real\beef_carpaccio\2298516.jpg,1
dataset/real\panna_cotta\638508.jpg,1
dataset/fake\bread_pudding\684945.jpg,0
dataset/real\gyoza\694774.jpg,1
dataset/real\french_onion_soup\85451.jpg,1
dataset/fake\nachos\89589.jpg,0
dataset/real\greek_salad\968471.jpg,1
dataset/fake\paella\565815.jpg,0
dataset/fake\ramen\67640.jpg,0
dataset/real\falafel\975803.jpg,1
dataset/fake\donuts\763266.jpg,0
dataset/real\macarons\847954.jpg,1
dataset/real\cheesecake\165910.jpg,1
dataset/real\macaroni_and_cheese\694141.jpg,1
dataset/real\sashimi\739133.jpg,1
dataset/real\creme_brulee\905471.jpg,1
dataset/real\prime_rib\842936.jpg,1
dataset/fake\greek_salad\995103.jpg,0
dataset/fake\beef_tartare\1914856.jpg,0
dataset/real\omelette\812242.jpg,1
dataset/real\huevos_rancheros\939504.jpg,1
dataset/real\omelette\821964.jpg,1
dataset/real\churros\864848.jpg,1
dataset/fake\red_velvet_cake\59503.jpg,0
dataset/fake\croque_madame\465905.jpg,0
dataset/fake\ice_cream\892598.jpg,0
dataset/fake\spaghetti_carbonara\685720.jpg,0
dataset/fake\churros\881905.jpg,0
dataset/real\fried_rice\89644.jpg,1
dataset/real\cheese_plate\1958947.jpg,1
dataset/real\hot_and_sour_soup\604451.jpg,1
dataset/real\edamame\760003.jpg,1
dataset/fake\macarons\884964.jpg,0
dataset/fake\chocolate_cake\3592680.jpg,0
dataset/fake\sashimi\758154.jpg,0
dataset/fake\bruschetta\974802.jpg,0
dataset/fake\sashimi\795596.jpg,0
dataset/fake\peking_duck\69195.jpg,0
dataset/real\spring_rolls\90481.jpg,1
dataset/fake\peking_duck\70566.jpg,0
dataset/real\french_onion_soup\758097.jpg,1
dataset/real\fried_rice\63081.jpg,1
dataset/fake\bibimbap\2499871.jpg,0
dataset/real\apple_pie\2909139.jpg,1
dataset/fake\club_sandwich\882772.jpg,0
dataset/real\french_fries\806895.jpg,1
dataset/real\baby_back_ribs\2601406.jpg,1
dataset/real\guacamole\901278.jpg,1
